,second_name,first_name,team,element_type,selected_by_percent,minutes,value_season,total_points,bps,influence,creativity,threat,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,position,Avg Playtime,PPG,PPGP,Full Name
32,Martínez,Emiliano,Aston Villa,1,38.9,3420,33.8,186,825,1067.2,20.0,0.0,0,0,15,46,0,1,0,1,0,142,27,Goalkeeper,90.0,4.894736842105263,4.894736842105263,"Martínez, Emiliano - Aston Villa"
227,Dallas,Stuart,Leeds,3,17.0,3410,31.1,171,726,756.8,454.6,527.0,8,3,12,53,0,0,0,7,0,0,15,Midfielder,89.73684210526316,4.5,4.513196480938417,"Dallas, Stuart - Leeds"
238,Meslier,Illan,Leeds,1,5.1,3150,30.8,154,774,1026.0,10.0,0.0,0,0,11,52,1,1,0,0,0,140,20,Goalkeeper,82.89473684210526,4.052631578947368,4.4,"Meslier, Illan - Leeds"
451,Cresswell,Aaron,West Ham,2,19.3,3170,27.8,153,730,669.4,898.6,96.0,0,11,11,41,0,0,0,3,0,0,21,Defender,83.42105263157895,4.026315789473684,4.343848580441641,"Cresswell, Aaron - West Ham"
40,Targett,Matt,Aston Villa,2,9.7,3404,27.6,138,710,690.4,607.0,122.0,0,4,16,44,0,0,0,7,0,0,9,Defender,89.57894736842105,3.6315789473684212,3.6486486486486487,"Targett, Matt - Aston Villa"
154,Guaita,Vicente,Crystal Palace,1,5.9,3330,27.6,124,639,819.4,0.0,0.0,0,0,8,64,0,1,0,2,0,107,15,Goalkeeper,87.63157894736842,3.263157894736842,3.3513513513513513,"Guaita, Vicente - Crystal Palace"
385,Lloris,Hugo,Spurs,1,4.2,3420,27.1,149,702,868.0,0.0,0.0,0,0,12,45,0,0,0,0,0,114,13,Goalkeeper,90.0,3.9210526315789473,3.9210526315789473,"Lloris, Hugo - Spurs"
239,Harrison,Jack,Leeds,3,5.5,2846,26.7,160,542,759.2,821.7,666.0,8,10,11,45,0,0,0,2,0,0,15,Midfielder,74.89473684210526,4.2105263157894735,5.059732958538299,"Harrison, Jack - Leeds"
279,Santana de Moraes,Ederson,Man City,1,10.2,3240,26.7,160,696,586.0,10.0,0.0,0,1,19,28,0,1,0,3,0,66,3,Goalkeeper,85.26315789473684,4.2105263157894735,4.444444444444445,"Santana de Moraes, Ederson - Man City"
448,Fabianski,Lukasz,West Ham,1,2.5,3150,26.6,133,634,745.2,0.0,0.0,0,0,10,44,0,1,0,2,0,102,11,Goalkeeper,82.89473684210526,3.5,3.8,"Fabianski, Lukasz - West Ham"
468,dos Santos Patrício,Rui Pedro,Wolves,1,0.2,3330,26.4,132,626,763.6,0.0,0.0,0,0,10,51,0,1,0,1,0,100,12,Goalkeeper,87.63157894736842,3.473684210526316,3.5675675675675675,"dos Santos Patrício, Rui Pedro - Wolves"
0,Leno,Bernd,Arsenal,1,2.3,3131,26.2,131,625,702.2,0.0,2.0,0,0,11,37,1,1,0,0,1,86,11,Goalkeeper,82.39473684210526,3.4473684210526314,3.7655701053976363,"Leno, Bernd - Arsenal"
310,Wan-Bissaka,Aaron,Man Utd,2,11.2,3060,26.2,144,729,785.4,498.2,159.0,2,5,13,36,0,0,0,3,0,0,11,Defender,80.52631578947368,3.789473684210526,4.235294117647059,"Wan-Bissaka, Aaron - Man Utd"
119,Pope,Nick,Burnley,1,5.3,2880,26.2,144,652,846.6,20.0,2.0,0,0,11,37,0,0,0,1,0,114,20,Goalkeeper,75.78947368421052,3.789473684210526,4.5,"Pope, Nick - Burnley"
86,Dunk,Lewis,Brighton,2,6.7,2932,26.0,130,626,720.4,136.7,443.0,5,0,11,40,1,0,0,5,2,0,17,Defender,77.15789473684211,3.4210526315789473,3.9904502046384724,"Dunk, Lewis - Brighton"
458,Coufal,Vladimir,West Ham,2,15.1,3054,25.6,128,625,693.8,670.9,220.0,0,9,9,43,0,0,0,3,0,0,12,Defender,80.36842105263158,3.3684210526315788,3.772102161100197,"Coufal, Vladimir - West Ham"
39,Mings,Tyrone,Aston Villa,2,8.0,3194,25.6,128,633,798.4,97.3,293.0,2,2,14,42,1,0,0,4,1,0,8,Defender,84.05263157894737,3.3684210526315788,3.606762680025047,"Mings, Tyrone - Aston Villa"
