,home_goal,away_goal,home_shot,away_shot,home_pass,away_pass,home_dribble,away_dribble
0,3,5,5,17,381,478,10,13
1,2,7,13,16,415,452,16,14
2,3,9,11,19,427,431,16,16
3,0,4,4,17,408,450,18,10
4,1,6,7,18,376,475,15,15
5,1,5,9,13,431,440,12,14
6,2,4,12,7,455,408,18,18
7,2,6,9,13,354,511,15,14
8,2,1,7,17,370,454,20,28
9,2,1,9,11,385,442,14,13
10,2,5,11,13,382,472,16,14
11,7,4,12,18,414,433,22,16
12,2,9,9,22,387,463,15,12
13,2,5,11,11,399,462,17,15
14,2,6,7,14,409,453,16,6
15,2,13,5,20,341,516,15,13
16,4,1,11,13,389,478,10,17
17,5,6,11,15,395,481,17,20
18,2,8,10,21,435,442,15,23
19,3,3,9,12,365,493,18,25
20,3,2,7,12,369,483,19,11
21,5,1,11,11,480,412,19,8
22,4,5,9,16,369,484,17,9
23,5,1,18,8,391,463,24,13
24,1,4,4,16,358,497,19,15
25,3,6,9,18,385,444,16,17
26,1,8,9,18,406,453,16,26
27,1,6,8,19,376,466,11,15
28,2,5,10,17,382,476,19,28
29,5,3,16,12,408,447,12,16
30,2,6,8,15,404,448,27,20
31,4,4,12,16,366,466,21,13
32,7,4,15,11,413,431,19,22
33,2,3,3,7,359,496,20,18
34,1,7,8,16,425,436,18,17
35,2,3,14,13,349,508,16,21
36,1,6,8,12,378,432,22,11
37,4,2,9,14,370,479,25,18
38,1,4,13,12,392,472,15,14
39,1,5,11,13,356,514,9,24
40,2,4,9,16,409,440,22,12
41,4,6,9,16,340,492,17,21
42,2,3,9,17,341,503,16,9
43,1,10,11,23,393,482,13,26
44,1,3,9,11,385,501,10,13
45,2,5,8,17,419,430,14,15
46,1,6,9,21,422,450,17,12
47,0,9,4,18,412,469,14,16
48,4,3,7,12,384,471,14,15
49,4,6,13,16,382,447,18,13
50,2,3,9,13,451,373,20,16
51,7,7,14,18,374,471,12,22
52,1,2,7,10,423,460,11,20
53,1,5,3,17,403,455,17,13
54,2,3,8,14,357,477,17,11
55,0,5,7,17,404,477,12,8
56,6,8,10,24,417,436,17,19
57,4,6,11,19,358,501,15,14
58,4,6,11,21,436,398,14,20
59,3,3,13,11,397,479,12,10
60,1,5,10,13,386,475,11,13
61,3,3,9,19,375,461,14,16
62,0,5,2,17,383,492,13,15
63,2,5,11,15,319,527,22,13
64,1,11,5,19,383,444,17,15
65,0,5,6,24,404,467,20,14
66,0,5,8,20,403,469,10,9
67,4,5,12,12,411,435,11,16
68,2,4,10,17,385,497,11,15
69,1,9,10,24,389,460,21,15
70,0,8,8,15,353,543,12,9
71,2,4,9,13,402,457,13,21
72,5,6,12,22,378,459,10,16
73,3,6,10,17,368,491,13,16
74,2,2,10,5,392,472,16,15
75,1,4,5,11,380,456,17,14
76,2,7,10,21,342,519,10,9
77,3,5,12,17,371,469,14,14
78,3,7,3,16,365,470,18,14
79,1,3,5,17,376,505,16,15
80,4,3,5,23,392,471,13,20
81,4,6,7,17,361,501,13,14
82,5,3,13,16,364,480,16,14
83,1,5,5,20,340,504,11,15
84,3,1,9,15,369,475,18,17
85,2,3,7,14,359,487,15,13
86,3,6,8,13,359,470,14,17
87,1,2,8,13,390,469,15,18
88,0,2,11,10,341,504,14,16
89,3,2,8,12,389,447,18,15
90,2,4,8,17,394,476,16,15
91,3,3,11,9,424,447,11,8
92,2,9,8,15,410,437,13,11
93,5,8,12,18,375,480,12,10
94,0,8,7,16,413,478,14,20
95,5,4,11,16,377,500,22,22
96,2,5,9,19,410,446,20,16
97,2,6,8,18,393,460,12,19
98,1,2,6,6,437,424,16,11
99,2,2,16,16,441,395,15,12
